Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;;SBBH;15/07/2019;10:10;Aproximação;Nenhum
QUASE COLISÃO;FAB5539;SBSM;15/07/2019;08:00;Decolagem;Nenhum
AVISTAMENTO;PTOMQ;SBME;15/07/2019;12:05;Aproximação;Nenhum
AVISTAMENTO;;SBMQ;15/07/2019;07:20;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;15/07/2019;09:43;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;15/07/2019;17:35;Revisão de pista;Nenhum
QUASE COLISÃO;3037;SBES;15/07/2019;10:00;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;3037;SBES;15/07/2019;15:50;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBSP;14/07/2019;16:06;Revisão de pista;Nenhum
AVISTAMENTO;PRSEE;SBME;14/07/2019;10:05;Aproximação;Nenhum
AVISTAMENTO;9428;SBPA;14/07/2019;18:10;Táxi;Nenhum
AVISTAMENTO;;SBMT;14/07/2019;12:10;Revisão de pista;Não reportada
AVISTAMENTO;;SBSP;14/07/2019;09:29;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;13/07/2019;11:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;13/07/2019;16:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;13/07/2019;18:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;13/07/2019;09:00;Revisão de pista;Nenhum
QUASE COLISÃO;FAB5959;SBBV;12/07/2019;10:30;Aproximação;outros
AVISTAMENTO;5947;SBNT;12/07/2019;08:30;Subida;Nenhum
AVISTAMENTO;FAB2591;SBFL;12/07/2019;14:50;Aproximação;Não reportada
AVISTAMENTO;;SBMQ;12/07/2019;20:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;12/07/2019;15:50;Revisão de pista;Nenhum
AVISTAMENTO;;SBBV;12/07/2019;10:10;Subida;Nenhum
AVISTAMENTO;AZU4289;SBPJ;11/07/2019;04:10;Táxi;Nenhum
AVISTAMENTO;PROMQ;SBME;11/07/2019;11:24;Aproximação;Nenhum
AVISTAMENTO;;SBRF;11/07/2019;11:00;Revisão de pista;Nenhum
AVISTAMENTO;FAB7101;SBBE;11/07/2019;15:30;Descida;Nenhum
QUASE COLISÃO;N4009;SBES;11/07/2019;10:00;Decolagem;outros
AVISTAMENTO;;SBSJ;11/07/2019;19:00;Estacionamento;Nenhum
AVISTAMENTO;;SBKP;11/07/2019;18:13;Revisão de pista;Nenhum
AVISTAMENTO;PRAUA;SBCF;10/07/2019;10:33;Aproximação;Nenhum
AVISTAMENTO;PRGGM;SBFI;10/07/2019;05:20;Táxi;Nenhum
QUASE COLISÃO;5534;SBSM;10/07/2019;13:30;Decolagem;outros
QUASE COLISÃO;FAB5901;SBNT;10/07/2019;15:50;NBA;outros
COLISÃO;5732;SBPV;10/07/2019;10:20;Aproximação;Pouso de precaução
AVISTAMENTO;;SBPB;10/07/2019;17:00;Revisão de pista;Nenhum
AVISTAMENTO;PRGUE;SBPA;10/07/2019;18:38;Táxi;Nenhum
QUASE COLISÃO;FAB5944;SBPV;10/07/2019;15:10;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBSP;10/07/2019;16:31;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;09/07/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;PRJAV;SBSL;09/07/2019;10:41;Decolagem;Nenhum
