Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
QUASE COLISÃO;PTKDD;SBJD;15/09/2019;08:40;Decolagem;outros
AVISTAMENTO;;SBMA;14/09/2019;03:46;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;14/09/2019;11:35;Revisão de pista;Nenhum
AVISTAMENTO;;SBBV;13/09/2019;09:00;Aproximação;Nenhum
AVISTAMENTO;;SBBV;13/09/2019;09:10;Aproximação;Nenhum
QUASE COLISÃO;FAB5927;SBBV;13/09/2019;08:50;Aproximação;Desestabilização na aproximação
AVISTAMENTO;PTLIF;SBBH;13/09/2019;10:00;Aproximação;Não reportada
AVISTAMENTO;PPNLX;SBCB;13/09/2019;11:57;Pouso;Nenhum
AVISTAMENTO;;SBBH;13/09/2019;16:14;Aproximação;Não reportada
AVISTAMENTO;PRSEO;SBME;13/09/2019;14:24;Aproximação;Nenhum
QUASE COLISÃO;PTMEC;SBPV;13/09/2019;10:04;Aproximação;Desestabilização na aproximação
COLISÃO;PRAXW;SBAR;13/09/2019;04:00;Táxi;Nenhum
AVISTAMENTO;PTMEC;SBPV;13/09/2019;10:05;Pouso;Nenhum
AVISTAMENTO;;SBSP;13/09/2019;06:57;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;13/09/2019;16:54;Revisão de pista;Nenhum
AVISTAMENTO;PRGUD;SBNF;13/09/2019;07:16;Pouso;Nenhum
AVISTAMENTO;;SBKP;13/09/2019;17:05;Revisão de pista;Nenhum
QUASE COLISÃO;5952;SBNT;13/09/2019;14:25;NBA;Nenhum
AVISTAMENTO;PRLCQ;SBVT;12/09/2019;07:32;Aproximação;Nenhum
AVISTAMENTO;PTOOV;SBBH;12/09/2019;09:06;Descida;Nenhum
AVISTAMENTO;PRHGR;SBFL;12/09/2019;11:18;Aproximação;Nenhum
QUASE COLISÃO;FAB4865;SBGL;12/09/2019;10:10;Aproximação;Desestabilização na aproximação
AVISTAMENTO;NIL;SBSJ;12/09/2019;08:28;Revisão de pista;Nenhum
AVISTAMENTO;;SBGL;12/09/2019;09:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBCT;12/09/2019;04:13;Revisão de pista;Nenhum
COLISÃO;PRGUC;SBVT;12/09/2019;20:48;Decolagem;Nenhum
QUASE COLISÃO;FAB5927;SBBV;12/09/2019;12:50;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBSP;12/09/2019;09:59;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;12/09/2019;17:18;Revisão de pista;Nenhum
AVISTAMENTO;AZU4118;SBIL;12/09/2019;15:10;Pouso;Nenhum
AVISTAMENTO;PRSEO;SBME;11/09/2019;09:25;Aproximação;Não reportada
AVISTAMENTO;;SBBV;11/09/2019;08:40;Aproximação;Nenhum
COLISÃO;PRBBE;SBCT;11/09/2019;19:05;Decolagem;Pouso de precaução
AVISTAMENTO;ASVERD;SBPV;11/09/2019;14:38;Pouso;Nenhum
AVISTAMENTO;;SBSP;11/09/2019;09:08;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;11/09/2019;16:31;Revisão de pista;Nenhum
AVISTAMENTO;PRAXI;SBLO;11/09/2019;10:30;Pouso;Nenhum
QUASE COLISÃO;1008;SBES;11/09/2019;10:45;Pouso;Desestabilização na aproximação
AVISTAMENTO;PRANZ;SBKP;11/09/2019;17:05;Revisão de pista;Nenhum
AVISTAMENTO;1948;SBYS;11/09/2019;08:10;Táxi;Nenhum
AVISTAMENTO;;SBCR;11/09/2019;06:20;Revisão de pista;Nenhum
AVISTAMENTO;PTJBL;SBJC;10/09/2019;09:36;Decolagem;Não reportada
AVISTAMENTO;PPAMZ;SBBE;10/09/2019;10:45;Aproximação;Nenhum
AVISTAMENTO;ESC204;SBBV;10/09/2019;10:18;Decolagem;Nenhum
AVISTAMENTO;PRSEO;SBME;10/09/2019;17:32;Aproximação;Nenhum
AVISTAMENTO;;SBSP;10/09/2019;08:49;Revisão de pista;Nenhum
AVISTAMENTO;ASVERMELHO;SBPV;10/09/2019;19:38;Decolagem;Nenhum
AVISTAMENTO;;SBSP;10/09/2019;16:03;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;10/09/2019;07:34;Revisão de pista;Nenhum
AVISTAMENTO;FAB5944;SBPV;10/09/2019;15:15;Aproximação;Nenhum
AVISTAMENTO;;SBLO;10/09/2019;15:00;Revisão de pista;Não reportada
AVISTAMENTO;PTMXP;SBSV;10/09/2019;18:21;Decolagem;Nenhum
QUASE COLISÃO;1008;SBES;10/09/2019;14:45;Pouso;outros
AVISTAMENTO;1910;SBYS;10/09/2019;08:10;Decolagem;Nenhum
AVISTAMENTO;ESCCINZA;SBBV;09/09/2019;09:45;Pouso;Nenhum
AVISTAMENTO;PRBCO;SBBV;09/09/2019;15:43;Aproximação;Nenhum
AVISTAMENTO;;SBSP;09/09/2019;08:48;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;09/09/2019;14:26;Revisão de pista;Nenhum
AVISTAMENTO;7058;SBMN;09/09/2019;14:30;Decolagem;Nenhum
QUASE COLISÃO;PTMEC;SBPV;09/09/2019;09:52;Aproximação;Desestabilização na aproximação
AVISTAMENTO;FAB5936;SBPV;09/09/2019;13:15;Aproximação;Nenhum
AVISTAMENTO;FAB5928;SBPV;09/09/2019;11:10;Aproximação;Nenhum
QUASE COLISÃO;;SBPV;09/09/2019;11:10;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;5901;SBNT;09/09/2019;14:20;Aproximação;outros
AVISTAMENTO;5901;SBNT;09/09/2019;12:40;NBA;Nenhum
AVISTAMENTO;;SBRF;08/09/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;PRAXH;SBBE;08/09/2019;08:57;Decolagem;Nenhum
COLISÃO;;SBNF;08/09/2019;07:15;Revisão de pista;Nenhum
AVISTAMENTO;PTONP;SBUR;08/09/2019;17:00;Decolagem;Nenhum
AVISTAMENTO;PRSEC;SBME;08/09/2019;14:35;Aproximação;Nenhum
AVISTAMENTO;;SBSP;08/09/2019;14:37;Revisão de pista;Nenhum
AVISTAMENTO;PRXTH;SBGR;08/09/2019;16:55;Descida;Nenhum
AVISTAMENTO;PTGMR;SBIL;08/09/2019;12:54;Pouso;Nenhum
AVISTAMENTO;;SBRF;07/09/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;PPNLX;9PTY;07/09/2019;07:40;Pouso;Nenhum
AVISTAMENTO;PRSHC;SBBH;07/09/2019;13:40;Descida;Nenhum
AVISTAMENTO;PRATV;SBFN;07/09/2019;11:50;Aproximação;Nenhum
AVISTAMENTO;;SBMT;07/09/2019;12:28;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;07/09/2019;16:18;Revisão de pista;Nenhum
QUASE COLISÃO;2020;SBRF;07/09/2019;12:45;Aproximação;Desestabilização na aproximação
AVISTAMENTO;FAB1948;SBYS;06/09/2019;11:50;Descida;Nenhum
AVISTAMENTO;;SBCT;06/09/2019;04:29;Revisão de pista;Não reportada
AVISTAMENTO;;SBCT;06/09/2019;04:25;Revisão de pista;Nenhum
AVISTAMENTO;FAB1905;SBYS;06/09/2019;11:15;Aproximação;Nenhum
QUASE COLISÃO;FAB1967;SBYS;06/09/2019;12:30;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;FAB1967;SBYS;06/09/2019;12:35;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;FAB8903;SBCG;06/09/2019;15:00;Aproximação;outros
AVISTAMENTO;PRYRJ;SBKP;06/09/2019;06:18;Pouso;Nenhum
AVISTAMENTO;;SBKP;06/09/2019;07:35;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;06/09/2019;07:30;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;06/09/2019;16:22;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;06/09/2019;07:40;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;06/09/2019;09:30;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;06/09/2019;16:12;Revisão de pista;Nenhum
QUASE COLISÃO;FAB2020;SBBE;06/09/2019;09:00;Decolagem;outros
AVISTAMENTO;PTXPL;SBJP;06/09/2019;19:08;Táxi;Nenhum
AVISTAMENTO;;SBBE;06/09/2019;08:40;Revisão de pista;Nenhum
AVISTAMENTO;1948;SBYS;05/09/2019;13:45;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;TAM3456;SBRB;05/09/2019;01:53;Subida;Nenhum
QUASE COLISÃO;FAB1341;SBYS;05/09/2019;11:00;Decolagem;outros
AVISTAMENTO;;SBCB;05/09/2019;00:23;Revisão de pista;Nenhum
AVISTAMENTO;JOKER14;SBKG;05/09/2019;09:20;Aproximação;Nenhum
AVISTAMENTO;FAB1967;SBYS;05/09/2019;14:45;Pouso;Nenhum
AVISTAMENTO;FAB1378;SBYS;05/09/2019;12:30;Aproximação;Nenhum
AVISTAMENTO;;SBSP;05/09/2019;16:40;Revisão de pista;Nenhum
AVISTAMENTO;;SBMT;05/09/2019;12:30;Revisão de pista;Nenhum
AVISTAMENTO;FAB2347;SBNT;05/09/2019;06:45;Decolagem;Nenhum
AVISTAMENTO;PRYYF;SBRF;05/09/2019;11:53;Decolagem;Nenhum
AVISTAMENTO;;SBSP;04/09/2019;16:00;Revisão de pista;Nenhum
AVISTAMENTO;5054;SBES;04/09/2019;09:50;Decolagem;Nenhum
AVISTAMENTO;;SBPA;04/09/2019;07:36;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;04/09/2019;21:27;Revisão de pista;Nenhum
QUASE COLISÃO;;SBPV;04/09/2019;11:15;Decolagem;outros
AVISTAMENTO;;SBPS;04/09/2019;01:58;Revisão de pista;Nenhum
AVISTAMENTO;;SBPV;04/09/2019;13:00;Aproximação;Nenhum
AVISTAMENTO;PRZGS;SBIL;04/09/2019;08:48;Pouso;outros
AVISTAMENTO;N1008;SBES;04/09/2019;15:00;Decolagem;Nenhum
AVISTAMENTO;;SBBE;04/09/2019;10:40;Revisão de pista;Nenhum
AVISTAMENTO;4001;SBES;04/09/2019;11:42;Táxi;Nenhum
QUASE COLISÃO;5041;SBES;03/09/2019;14:20;Pouso;outros
QUASE COLISÃO;PRSEF;9PCO;03/09/2019;07:45;Aproximação;outros
QUASE COLISÃO;7810;SBSM;03/09/2019;16:37;Pouso;Desestabilização na aproximação
AVISTAMENTO;FAB5952;SBNT;03/09/2019;11:00;Aproximação;Nenhum
AVISTAMENTO;PTJOM;SBPR;03/09/2019;12:53;Aproximação;Nenhum
AVISTAMENTO;FAB5723;SBPV;03/09/2019;16:40;Aproximação;Nenhum
AVISTAMENTO;;SBNT;03/09/2019;08:00;Táxi;Nenhum
QUASE COLISÃO;;SBPV;03/09/2019;16:00;Pouso;Desestabilização na aproximação
AVISTAMENTO;PRAQN;SBMK;03/09/2019;19:20;Táxi;Nenhum
AVISTAMENTO;PRJIJ;SBPJ;02/09/2019;11:10;Táxi;Nenhum
AVISTAMENTO;PRMSD;SBBH;02/09/2019;11:05;Aproximação;Nenhum
AVISTAMENTO;PRYRX;SBKP;02/09/2019;21:44;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;02/09/2019;05:37;Revisão de pista;Nenhum
AVISTAMENTO;;SBBR;02/09/2019;08:15;Pouso;Nenhum
AVISTAMENTO;PRAIV;SBKP;02/09/2019;06:38;Táxi;Nenhum
AVISTAMENTO;FAB2702;SBPS;02/09/2019;15:18;Aproximação;Nenhum
AVISTAMENTO;PRGGC;SBFZ;02/09/2019;08:44;Pouso;Nenhum
AVISTAMENTO;PTMXL;SBJP;02/09/2019;17:50;Pouso;Nenhum
AVISTAMENTO;;SBSJ;02/09/2019;06:30;Revisão de pista;Nenhum
AVISTAMENTO;;SBCO;02/09/2019;23:30;Estacionamento;Nenhum
QUASE COLISÃO;FAB2332;SBGL;02/09/2019;15:55;Aproximação;Desestabilização na aproximação
AVISTAMENTO;FAB2285;SBNT;02/09/2019;09:15;Decolagem;Nenhum
AVISTAMENTO;;SBSP;02/09/2019;09:08;Revisão de pista;Nenhum
AVISTAMENTO;;SBMT;02/09/2019;12:05;Revisão de pista;Não reportada
QUASE COLISÃO;;SBPV;02/09/2019;10:00;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBPV;02/09/2019;09:50;Aproximação;Nenhum
AVISTAMENTO;;SBPV;02/09/2019;09:50;Aproximação;Nenhum
AVISTAMENTO;FAB2550;SBMN;02/09/2019;16:45;Aproximação;Nenhum
AVISTAMENTO;;SBMN;02/09/2019;17:23;Revisão de pista;Nenhum
AVISTAMENTO;PROHC;9PPH;01/09/2019;16:40;Aproximação;Nenhum
AVISTAMENTO;PRGGK;SBFL;01/09/2019;09:49;Táxi;Nenhum
AVISTAMENTO;PTSOG;SBEG;01/09/2019;14:09;Pouso;Nenhum
QUASE COLISÃO;AZU4313;SBSR;01/09/2019;18:10;Pouso;outros
AVISTAMENTO;PRMHA;SBFZ;01/09/2019;14:31;Decolagem;Nenhum
AVISTAMENTO;PRATW;SBKP;01/09/2019;23:34;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;01/09/2019;09:09;Revisão de pista;Nenhum
AVISTAMENTO;;SBMT;01/09/2019;12:30;Revisão de pista;Não reportada
QUASE COLISÃO;PRAUK;SBRP;01/09/2019;04:55;Pouso;Nenhum
AVISTAMENTO;PTB2366;SBRP;31/08/2019;11:56;Aproximação;Não reportada
AVISTAMENTO;PPMKT;SBCG;31/08/2019;09:42;Aproximação;Nenhum
COLISÃO;2893;SBYS;30/08/2019;08:30;Estacionamento;Decolagem abortada,outros
AVISTAMENTO;;SBSP;30/08/2019;10:18;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;30/08/2019;15:15;Revisão de pista;Nenhum
AVISTAMENTO;FAB1925;SBYS;30/08/2019;10:00;Aproximação;Nenhum
AVISTAMENTO;PPLFV;SBEG;29/08/2019;08:08;Táxi;Nenhum
AVISTAMENTO;PRBAP;SBBV;29/08/2019;09:15;Pouso;Não reportada
AVISTAMENTO;PPBGG;SBPJ;29/08/2019;16:19;Aproximação;Nenhum
AVISTAMENTO;PRSMR;SBSJ;29/08/2019;17:26;Pouso;Pouso de precaução
AVISTAMENTO;PRMBN;SBGR;29/08/2019;19:50;Táxi;Nenhum
AVISTAMENTO;FAB4849;SBAN;29/08/2019;11:20;Aproximação;Nenhum
QUASE COLISÃO;2285;SBNT;29/08/2019;07:40;Pouso;outros
AVISTAMENTO;;SBSP;29/08/2019;09:25;Revisão de pista;Nenhum
AVISTAMENTO;PRMTX;SBKG;28/08/2019;13:43;Aproximação;Nenhum
AVISTAMENTO;FAB7108;SBNT;28/08/2019;07:42;Aproximação;Não reportada
AVISTAMENTO;FAB4871;SBAN;28/08/2019;10:20;Decolagem;Nenhum
AVISTAMENTO;PROHA;9PML;28/08/2019;12:08;Pouso;Nenhum
AVISTAMENTO;;SBLO;28/08/2019;12:10;Revisão de pista;Não reportada
AVISTAMENTO;FAB4849;SBAN;28/08/2019;11:20;Aproximação;Nenhum
AVISTAMENTO;PRBBD;SBBR;28/08/2019;15:40;Aproximação;Nenhum
AVISTAMENTO;;SBSP;28/08/2019;17:02;Revisão de pista;Nenhum
AVISTAMENTO;;SBBE;28/08/2019;14:15;Revisão de pista;Nenhum
AVISTAMENTO;PRYRW;SBKP;28/08/2019;06:29;Revisão de pista;Nenhum
